#Elapsed Time (secs),Bytes Received,Requests Serviced, Requests Failed, Comment
   0.00162,          0,          0,          1, /courses/ud923/filecorpus/1kb-sample-file-1.html
   0.00228,          0,          0,          2, /courses/ud923/filecorpus/1kb-sample-file-2.png
   0.00306,          0,          0,          3, /courses/ud923/filecorpus/1kb-sample-file-3.jpg
   0.00367,          0,          0,          4, /courses/ud923/filecorpus/1kb-sample-file-4.png
   0.00443,          0,          0,          5, /courses/ud923/filecorpus/paraglider.jpg
   0.00498,          0,          0,          6, /courses/ud923/filecorpus/road.jpg
   0.00550,          0,          0,          7, /courses/ud923/filecorpus/yellowstone.jpg
   0.00625,          0,          0,          8, /courses/ud923/filecorpus/moranabovejacksonlake.jpg
   0.00672,          0,          0,          9, /courses/ud923/filecorpus/1kb-sample-file-0.png
   0.00743,          0,          0,         10, /courses/ud923/filecorpus/1kb-sample-file-1.html
